"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.735317084E-1,-5.822078107E-1,3.584787583E-1,-1.190431126E0
7.835297084E-1,-3.123236154E-1,1.258847058E-1,-5.352412570E-1
7.935277084E-1,-9.578845642E-2,-1.983106577E-1,-1.688149631E-2
8.035267084E-1,3.834542812E-2,-4.838845772E-1,2.873456258E-1
8.135247084E-1,6.100513380E-2,-6.196621871E-1,4.367647898E-1
8.235227084E-1,8.892098386E-3,-6.025590813E-1,6.454548401E-1
8.335207084E-1,8.843305198E-2,-5.490915567E-1,8.583478689E-1
8.435197084E-1,1.440499948E-1,-5.673301917E-1,6.115386504E-1
8.535177084E-1,6.605735653E-2,-7.266896224E-1,1.170355296E-1
8.635157084E-1,-2.178716406E-2,-8.977885079E-1,-4.229226762E-1
8.735137084E-1,-9.663199950E-2,-1.040910805E0,-1.014635172E0
8.835127084E-1,-2.533397544E-1,-1.134292594E0,-1.594439229E0
8.935107084E-1,-3.292605141E-1,-1.036299691E0,-2.050437266E0
9.035087083E-1,-3.762491776E-1,-1.020526242E0,-2.413287402E0
9.135077083E-1,-4.250462388E-1,-9.217574143E-1,-2.706527022E0
9.235057083E-1,-3.327661026E-1,-6.372435951E-1,-2.737800270E0
9.335037083E-1,-1.917107227E-1,-4.604395813E-1,-2.682106125E0
9.435017083E-1,-1.499798298E-1,-3.744884348E-1,-2.616350677E0
9.535007083E-1,-1.465036418E-1,-2.972888160E-1,-2.485783521E0
9.634987083E-1,-7.367264229E-2,-1.726334873E-1,-2.290183632E0
9.734967083E-1,5.202131636E-2,-1.212595582E-2,-2.066938693E0
9.834957083E-1,9.171109244E-2,1.077656463E-1,-1.794323373E0
9.934937085E-1,6.522237414E-2,2.791837898E-1,-1.537637622E0
1.003491709E0,1.759779165E-2,4.873472983E-1,-1.196212853E0
1.013489709E0,-5.021387804E-3,7.191370663E-1,-8.256952626E-1
1.023488709E0,-4.582830185E-2,7.903567377E-1,-6.412167782E-1
1.033486709E0,-1.809678161E-1,7.961425576E-1,-6.752738857E-1
1.043484709E0,-3.260681901E-1,9.234338111E-1,-6.078911573E-1
1.053483709E0,-4.672660959E-1,1.083788145E0,-3.563024247E-1
1.063481709E0,-5.924883853E-1,1.169603344E0,6.395684481E-3
1.073479709E0,-7.181034248E-1,1.124935587E0,3.379240412E-1
1.083477709E0,-8.651920348E-1,9.684275508E-1,5.542107940E-1
1.093476709E0,-8.904857741E-1,7.980823714E-1,6.114100116E-1
1.103474709E0,-8.663676175E-1,6.880482978E-1,6.265999085E-1
1.113472709E0,-7.723256057E-1,6.458071348E-1,6.381768107E-1
1.123471709E0,-6.963393572E-1,6.741994599E-1,5.738024747E-1
1.133469708E0,-6.549154888E-1,7.518045831E-1,6.366746610E-1
1.143467708E0,-6.825550579E-1,8.926350644E-1,7.083872527E-1
1.153465708E0,-7.178405193E-1,9.111488110E-1,6.742798591E-1
1.163464708E0,-7.379513597E-1,9.238828772E-1,6.702511275E-1
1.173462708E0,-6.821855870E-1,1.081810910E0,9.386289704E-1
1.183460708E0,-6.446146683E-1,1.263948169E0,1.345063083E0
1.193459708E0,-6.301401783E-1,1.273855691E0,1.717878045E0
1.203457708E0,-5.854594473E-1,9.953358525E-1,1.959135917E0
1.213455708E0,-4.856842770E-1,5.936075789E-1,2.272516270E0
1.223453708E0,-2.747276085E-1,2.923078653E-1,2.796457783E0
1.233452708E0,3.254797775E-2,-1.603365004E-2,3.222140930E0
1.243450708E0,1.757526114E-1,-3.274689272E-1,3.328326951E0
1.253448708E0,2.484807913E-1,-6.113453999E-1,3.092785317E0
1.263447708E0,1.323409820E-1,-9.670318204E-1,2.723947631E0
1.273445708E0,-2.483263517E-1,-1.215703377E0,2.409361582E0
1.283443708E0,-6.762325367E-1,-1.222518307E0,2.234684785E0
1.293441708E0,-8.421907695E-1,-1.080535047E0,2.296757657E0
